"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
361,,-60.83296800e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
362,,-60.53440800e-3,MOSI,2,0x9800,OK
363,,-60.53440800e-3,MISO,2,0xF800,OK
364,,-60.51501600e-3,MOSI,2,0x0200,OK
365,,-60.51501600e-3,MISO,2,0x01FF,OK
366,,-60.49543200e-3,MOSI,2,0x087F,OK
367,,-60.49543200e-3,MISO,2,0xFFFF,OK
368,,-60.47604000e-3,MOSI,2,0x1480,OK
369,,-60.47604000e-3,MISO,2,0x0F80,OK
370,,-60.45645600e-3,MOSI,2,0x1A07,OK
371,,-60.45645600e-3,MISO,2,0x07FF,OK
372,,-60.43706400e-3,MOSI,2,0x1226,OK
373,,-60.43706400e-3,MISO,2,0xFFFE,OK
374,,-60.41748000e-3,MOSI,2,0x020C,OK
375,,-60.41748000e-3,MISO,2,0x01FF,OK
376,,-60.39789600e-3,MOSI,2,0x1A87,OK
377,,-60.39789600e-3,MISO,2,0xFFFF,OK
378,,-60.37850400e-3,MOSI,2,0x8800,OK
379,,-60.37850400e-3,MISO,2,0xFFFF,OK
380,,-60.35892000e-3,MOSI,2,0x0200,OK
381,,-60.35892000e-3,MISO,2,0xFFFF,OK
382,,-60.33952800e-3,MOSI,2,0x9400,OK
383,,-60.33952800e-3,MISO,2,0xFFFF,OK
384,,-60.31994400e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
385,,-60.31994400e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
386,,-60.02157600e-3,MOSI,2,0x9800,OK
387,,-60.02157600e-3,MISO,2,0xF800,OK
388,,-60.00199200e-3,MOSI,2,0x0200,OK
389,,-60.00199200e-3,MISO,2,0x01FF,OK
390,,-59.98240800e-3,MOSI,2,0x087F,OK
391,,-59.98240800e-3,MISO,2,0xFFFF,OK
