"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
309,,48.82802320e-3,MISO,2,0xFFFF,OK
310,,48.84751760e-3,MOSI,2,0x1480,OK
311,,48.84751760e-3,MISO,2,0x0F80,OK
312,,48.86701840e-3,MOSI,2,0x1A07,OK
313,,48.86701840e-3,MISO,2,0x07FF,OK
314,,48.88651920e-3,MOSI,2,0x1226,OK
315,,48.88651920e-3,MISO,2,0xFFFE,OK
316,,48.90602000e-3,MOSI,2,0x020C,OK
317,,48.90602000e-3,MISO,2,0x01FF,OK
318,,48.92552080e-3,MOSI,2,0x9A00,OK
319,,48.92552080e-3,MISO,2,0xFFFF,OK
320,,48.94502160e-3,MOSI,2,0x1AFF,OK
321,,48.94502160e-3,MISO,2,0xFFFF,OK
322,,48.96452240e-3,MOSI,2,0x8800,OK
323,,48.96452240e-3,MISO,2,0xFFFF,OK
324,,48.98401680e-3,MOSI,2,0x0200,OK
325,,48.98401680e-3,MISO,2,0xFE00,OK
326,,49.00351760e-3,MOSI,2,0x9400,OK
327,,49.00351760e-3,MISO,2,0x7FFF,OK
328,,49.02301840e-3,MOSI,2,0x9200,OK
329,,49.02301840e-3,MISO,2,0xF1FF,OK
330,,49.04251920e-3,MOSI,2,0x9800,OK
331,,49.04251920e-3,MISO,2,0xF800,OK
332,,49.06202000e-3,MOSI,2,0x0200,OK
333,,49.06202000e-3,MISO,2,0x01FF,OK
334,,49.08152080e-3,MOSI,2,0x087F,OK
335,,49.08152080e-3,MISO,2,0xFFFF,OK
336,,49.10102160e-3,MOSI,2,0x1480,OK
337,,49.10102160e-3,MISO,2,0x0F80,OK
338,,49.12052240e-3,MOSI,2,0x1A07,OK
339,,49.12052240e-3,MISO,2,0x07FF,OK
340,,49.14002320e-3,MOSI,2,0x1226,OK
341,,49.14002320e-3,MISO,2,0xFFFE,OK
342,,49.15951760e-3,MOSI,2,0x020C,OK
343,,49.15951760e-3,MISO,2,0x01FF,OK
344,,49.17901840e-3,MOSI,2,0x9A00,OK
345,,49.17901840e-3,MISO,2,0xFFFF,OK
346,,49.19851920e-3,MOSI,2,0x1AFF,OK
347,,49.19851920e-3,MISO,2,0xFFFF,OK
348,,49.21802000e-3,MOSI,2,0x8800,OK
349,,49.21802000e-3,MISO,2,0xFFFF,OK
350,,49.23752080e-3,MOSI,2,0x0200,OK
351,,49.23752080e-3,MISO,2,0xFE00,OK
352,,49.25702160e-3,MOSI,2,0x9400,OK
353,,49.25702160e-3,MISO,2,0x7FFF,OK
354,,49.27652240e-3,MOSI,2,0x9200,OK
355,,49.27652240e-3,MISO,2,0xF1FF,OK
356,,49.29602320e-3,MOSI,2,0x9800,OK
357,,49.29602320e-3,MISO,2,0xF800,OK
358,,49.31551760e-3,MOSI,2,0x0200,OK
359,,49.31551760e-3,MISO,2,0x01FF,OK
360,,49.33501840e-3,MOSI,2,0x087F,OK
361,,49.33501840e-3,MISO,2,0xFFFF,OK
362,,49.35451920e-3,MOSI,2,0x1480,OK
363,,49.35451920e-3,MISO,2,0x0F80,OK
364,,49.37402000e-3,MOSI,2,0x1A07,OK
365,,49.37402000e-3,MISO,2,0x07FF,OK
366,,49.39352080e-3,MOSI,2,0x1226,OK
367,,49.39352080e-3,MISO,2,0xFFFE,OK
368,,49.41302160e-3,MOSI,2,0x020C,OK
369,,49.41302160e-3,MISO,2,0x01FF,OK
370,,49.43252240e-3,MOSI,2,0x9A00,OK
371,,49.43252240e-3,MISO,2,0xFFFF,OK
372,,49.45202320e-3,MOSI,2,0x1AFF,OK
373,,49.45202320e-3,MISO,2,0xFFFF,OK
